cod;nombre;;categoria;tipo;vigencia_hoy;stock;costo;valor
492;ETIQUETA MIEL OS 265G PLAST.;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;150;0
507;ETIQUETA PRECIOS X HOJA;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;6500;0
531;Etiqueta tableta tornasol cacao organico x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;22,5;0
532;Etiqueta tableta tornasol 100p natural x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;22,5;0
533;Etiqueta tableta tornasol solo chocolate x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;19,54;0
534;Etiqueta tableta tornasol con macadamia x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;19,54;0
535;Etiqueta tableta tornasol con mani x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;19,54;0
536;Etiqueta tableta tornasol con almendra x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;19,54;0
537;Etiqueta tableta tornasol con nibs de cacao x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;19,54;0
538;Etiqueta tableta tornasol con sal marina x unidad;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;0;19,54;0
541;ETIQUETA MIX FRUTOS SECOS 100G TRASERA X UNIDAD;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;134;410;54940
542;ETIQUETA MACADAMIA 100G TRASERA X UNIDAD;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;55;818;44990
544;ETIQUETA MARAÑON 100G TRASERA X UNIDAD;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;45;1000;45000
577;Etiqueta Transparente Miel Panal 275 gr;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;2;300;600
578;Etiqueta Transparente Miel Panal 150 gr;;T03.21. ETIQUETAS ADESIVAS;Materia prima;Vigente;11;300;3300
256;BOLSA PAPEL CON CARGADERA 50uds 23.5 x12 x 33 SIGMAPLAST;;T03.31. BOLSAS DE PAPEL;Materia prima;Vigente;0;0;0
253;BOLSA FLEX UP 16 X 26 CON VALVULA;;T03.31. BOLSAS PLASTICAS;Materia prima;Vigente;10;693,48;6934,8
254;BOLSA PLANA FLEXIBLE15 X 20 CM CON VALVULA;;T03.31. BOLSAS PLASTICAS;Materia prima;Vigente;15;302,81;4542,15
338;BOLSA PLANA PET METALIZADA / FLEXIBLE SIN IMPRESION 16X22 EMPAQUE COBERTURA;;T03.31. BOLSAS PLASTICAS;Materia prima;Vigente;4;318;1272
341;BOLSA PLANA PET METALIZADA  FELXIBLE 16X28CM;;T03.31. BOLSAS PLASTICAS;Materia prima;Vigente;50;405;20250
374;BOLSA GRAN FORMATO 13KG EMPAQUE MAT. PRIMA;;T03.31. BOLSAS PLASTICAS;Materia prima;Vigente;1;2566,36;2566,36
375;BOLSA VERDE 35KG IMPRESA EMPAQUE MAT. PRIMA;;T03.31. BOLSAS PLASTICAS;Materia prima;Vigente;0;6647;0
