id	nombre	categoria	vigencia	stock_total	costo_promedio	stock_principal	stock_jenifer	stock_santiago	stock_ricardo	stock_mercado_libre	stock_villa_aburra	stock_apica	stock_el_salvador	stock_desarrollo	stock_no_conformes
63	ENVASE VIDRIO R 3590, 255 CC B.53 UNICOR	T999. PRODUCTOS QUE NO SE USAN	Vigente	10	945.08	10	0	0	0	0	0	0	0	0	0
64	TAPA METALICA B.53 UNICOR	T03.01. ENVASES Y TAPAS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
65	ENVASE PET SALSERO R E588-1, 350 CC, B.28/410 SOLO ENVASES	T03.01. ENVASES Y TAPAS	Vigente	0	487.7318	0	0	0	0	0	0	0	0	0	0
66	Tapa Fliptop R-28 Salsa Negra SOLO ENVASES	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	294.12	0	0	0	0	0	0	0	0	0	0
67	ENVASE VIDRIO R 4423, 280 CC B.38 UNICOR	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	790	0	0	0	0	0	0	0	0	0	0
68	TAPA METALICA DORADA B.38 UNICOR	T03.01. ENVASES Y TAPAS	Vigente	0	0	0	0	0	0	0	0	0	0	0	0
69	ENVASE VIDRIO R. 4353, 400 CC, B.38 UNICOR	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	905.1	0	0	0	0	0	0	0	0	0	0
7	MIEL OS VIDRIO 400grs	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	8822.87	0	0	0	0	0	0	0	0	0	0
70	ENVASE PET DISCORDOBA 500 CC B.28	T999. PRODUCTOS QUE NO SE USAN	Vigente	6	475	6	0	0	0	0	0	0	0	0	0
73	CHOCOLATE MESA OS/CF 24H X BLOQUE KL	T01.03. AGROECOLOGICOS GRAL	Vigente	4	54125	4	0	0	0	0	0	0	0	0	0
74	CHOCOLATE MESA OS/CF 12H BLOQUE x KILO	T01.03. AGROECOLOGICOS GRAL	Vigente	7.4	14907.741	7.4	0	0	0	0	0	0	0	0	0
76	CHOCOMIEL MAQUILA CF ENVASADO 250 CC	T09.01. SERVICIOS MAQUILA	Vigente	-No aplica-	500	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
77	ENVASE VIDRIO R 2670, 230 CC B.63 UNICOR	T03.01. ENVASES Y TAPAS	Vigente	72	750	72	0	0	0	0	0	0	0	0	0
78	TAPA METALICA B.63 X UNIDAD	T03.01. ENVASES Y TAPAS	Vigente	62	348.6939	62	0	0	0	0	0	0	0	0	0
79	CHOCOMIEL LT/CF x Kg	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	21276	0	0	0	0	0	0	0	0	0	0
8	MIEL OS VIDRIO 565grs	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	11717.22	0	0	0	0	0	0	0	0	0	0
80	CASCARILLA DE CACAO LT x KL	T01.03. AGROECOLOGICOS GRAL	Vigente	89.28	71922.8453	89.28	0	0	0	0	0	0	0	0	0
81	Envase Pet Salsa Mixta R 0081SAL200, 200cc SOLO ENVASES	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	515.361	0	0	0	0	0	0	0	0	0	0
82	ENVASE VIDRIO R 3590, 255 CC B.53 C Tapa  UNICOR	T999. PRODUCTOS QUE NO SE USAN	Vigente	10	1234.5464	10	0	0	0	0	0	0	0	0	0
83	ENVASE VIDRIO R 4423, 280 CC B.38 C Tapa UNICOR	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	973.2	0	0	0	0	0	0	0	0	0	0
84	ENVASE VIDRIO R. 4353, 400 CC, B.38 C Tapa UNICOR	T999. PRODUCTOS QUE NO SE USAN	Vigente	0	1295	0	0	0	0	0	0	0	0	0	0
85	Envase Vidrio R 1264 Flint, 750cc, B. 63 C Tapa UNICOR	T03.01. ENVASES Y TAPAS	Vigente	43	2205.0526	43	0	0	0	0	0	0	0	0	0
86	Envase Vidrio R mb110h Flint, 110cc, B. 46 C Tapa UNICOR	T03.01. ENVASES Y TAPAS	Vigente	91	1033.1624	91	0	0	0	0	0	0	0	0	0
87	Envase Vidrio R 2670 Flint, 230cc, B.63, C Tapa UNICOR	T03.01. ENVASES Y TAPAS	Vigente	51	1069.3182	51	0	0	0	0	0	0	0	0	0
88	Envase Vidrio 1263 Flint, 500cc, b.63, C Tapa UNICOR	T03.01. ENVASES Y TAPAS	Vigente	82	1555	82	0	0	0	0	0	0	0	0	0
9	MIEL OS PLASTICO 500grs	TPT.01. VENTA AGROECOLOGICOS VARIOS	Vigente	7	10250	7	0	0	0	0	0	0	0	0	0
90	Etiqueta Origen Silvestre tapa	T03.21. ETIQUETAS ADESIVAS	Vigente	1307	389.8866	1307	0	0	0	0	0	0	0	0	0
93	CHOCOLATE MESA OS MOLDEADO X KG MOLDE  9 a 12 g	T01.03. AGROECOLOGICOS GRAL	Vigente	8	46524.8654	8	0	0	0	0	0	0	0	0	0
94	PROCESO MOLDEADO CHOCOLATE DE MESA	T09.01. SERVICIOS MAQUILA	Vigente	-No aplica-	0	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-	-No aplica-
95	BOLSA FLEX UP MINI 133 X 170 80-160 GRS ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	3	311.0179	3	0	0	0	0	0	0	0	0	0
96	BOLSA FLEX UP PEQUE 133 X 210 150-250 GRS ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	8	330.9334	8	0	0	0	0	0	0	0	0	0
97	BOLSA FLEX UP MED 160 X 240 350-450 GRS ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	0	444.0625	0	0	0	0	0	0	0	0	0	0
98	BOLSA FLEX UP GRANDE 190 X 250 480-650 GRS ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	0	591.6	0	0	0	0	0	0	0	0	0	0
99	BOLSA FLEX UP VENTANA PEQUE 133 X 210 150-250 GRS ALICO	T03.03. ENVASES ECOLOGICOS	Vigente	0	265.7763	0	0	0	0	0	0	0	0	0	0
