cod;nombre;;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
450;O07.03. Honorarios a terceros;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
451;O07.04. Salarios;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
452;O07.05. Eps;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
453;O07.06. Arl;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
454;O07.07. Pension;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
455;O07.08. Parafiscales;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
456;O07.09. Primas;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
457;O07.10. Cesantias;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
458;O07.11. Bonificaciones e incentivos;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
459;O07.12. Pago Dividendos;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
460;O07.13. Subsidio de transporte;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
461;O07.14. Comision x desempéño;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
462;O07.15. Pagos x Dia;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
463;O07.16. Comisiones red de amigos;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
464;O07.17. Comisiones a terceros;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
465;O07.18. x;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
466;O07.19. x;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
467;O07.20. Pagos de Honorarios y dividendos General;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
468;O08.04. Pago Intereses Socios;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
469;O08.05. Pago Intereses Familiares y amigos;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
470;O08.06. Pago Intereses Entidades Financieras;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
471;O08.10. Pago Deudas e Intereses:;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
472;O09.04. Inversiones Financieras;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
473;O10.01. Cursos y mentorias;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
475;O10.02. Estudios periodos medios;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
474;O10.02. Talleres y seminarios;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
476;O10.10. Capacitaciones y Asesorias General;;GASTOS;Servicio;0;0;0;;;;SI;NO TOCAR (catálogo permanente)
587;Aji en polvo trinidad escorpio x grm;;T01.03. AGROECOLOGICOS GRAL;Materia prima;0;3500;0;;;;SI;CANDIDATO ANULAR — nunca usado
585;ALMENDRA DE CACAO SAN LUIS;;T01.03. AGROECOLOGICOS GRAL;Materia prima;111;11000;1221000;;;;SI;REVISAR — tiene stock
520;DESPERDICIO - CHOCOMIEL 80/20 x Kg;;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;0;21276;0;;;;SI;CANDIDATO ANULAR — nunca usado
324;ENVASE 500G CON PANAL X UNIDAD;;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;0;0;0;;;;SI;CANDIDATO ANULAR — nunca usado
54;MIEL APICA PROCESADA X KILO;x;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;0;18700;0;;;;SI;CANDIDATO ANULAR — nunca usado
233;Envase Vidrio MB30R Flint, 30cc, B. 41 C Tapa UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;0;784;0;;;;SI;CANDIDATO ANULAR — nunca usado
64;TAPA METALICA B.53 UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;0;325,25;0;;;;SI;CANDIDATO ANULAR — nunca usado
68;TAPA METALICA DORADA B.38 UNICOR;;T03.01. ENVASES Y TAPAS;Materia prima;0;183,2;0;;;;SI;CANDIDATO ANULAR — nunca usado
95;BOLSA FLEX UP MINI 133 X 170 80-160 GRS ALICO;;T03.03. ENVASES ECOLOGICOS;Materia prima;3;315,2;945,6;;;;SI;REVISAR — tiene stock
