cod;nombre;categoria;tipo;stock;costo_unit;valor_inventario;ult_material;ult_produccion;ult_compra;nunca_usado;accion_sugerida
470;O08.06. Pago Intereses Entidades Financieras;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
471;O08.10. Pago Deudas e Intereses:;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
472;O09.04. Inversiones Financieras;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
473;O10.01. Cursos y mentorias;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
475;O10.02. Estudios periodos medios;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
474;O10.02. Talleres y seminarios;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
476;O10.10. Capacitaciones y Asesorias General;GASTOS;Servicio;0,00;0,00;0,00;;;;SI;NO TOCAR (catálogo permanente)
587;Aji en polvo trinidad escorpio x grm;T01.03. AGROECOLOGICOS GRAL;Materia prima;0,00;3500,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
585;ALMENDRA DE CACAO SAN LUIS;T01.03. AGROECOLOGICOS GRAL;Materia prima;111,00;11000,00;1221000,00;;;;SI;REVISAR — tiene stock
520;DESPERDICIO - CHOCOMIEL 80/20 x Kg;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;0,00;21276,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
324;ENVASE 500G CON PANAL X UNIDAD;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;0,00;0,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
54;MIEL APICA PROCESADA X KILO;T01.03. AGROECOLOGICOS GRAL;Producto en proceso;0,00;18700,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
233;Envase Vidrio MB30R Flint, 30cc, B. 41 C Tapa UNICOR;T03.01. ENVASES Y TAPAS;Materia prima;0,00;784,00;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
64;TAPA METALICA B.53 UNICOR;T03.01. ENVASES Y TAPAS;Materia prima;0,00;325,25;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
68;TAPA METALICA DORADA B.38 UNICOR;T03.01. ENVASES Y TAPAS;Materia prima;0,00;183,20;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
95;BOLSA FLEX UP MINI 133 X 170 80-160 GRS ALICO;T03.03. ENVASES ECOLOGICOS;Materia prima;3,00;315,20;945,60;;;;SI;REVISAR — tiene stock
96;BOLSA FLEX UP PEQUE 133 X 210 150-250 GRS ALICO;T03.03. ENVASES ECOLOGICOS;Materia prima;8,00;372,30;2978,40;;;;SI;REVISAR — tiene stock
560;BOLSA FLEX UP VENTANA MED CON ETIQUETAS INFUSION 400 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;18,00;1487,40;26773,20;;;;SI;REVISAR — tiene stock
566;BOLSA METALIZADA VENTANA CON ETIQUETAS ALMENDRA 200 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;5,00;1487,40;7437,00;;;;SI;REVISAR — tiene stock
567;BOLSA METALIZADA VENTANA CON ETIQUETAS ALMENDRA DE CACAO 200 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0,00;1487,40;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
562;BOLSA METALIZADA VENTANA CON ETIQUETAS CHOCOLATE BOMBONES 250 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;12,00;1487,40;17848,80;;;;SI;REVISAR — tiene stock
563;BOLSA METALIZADA VENTANA CON ETIQUETAS CHOCOLATE GRANULADO 250 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;16,00;1487,40;23798,40;;;;SI;REVISAR — tiene stock
561;BOLSA METALIZADA VENTANA CON ETIQUETAS INFUSION 200 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0,00;1487,40;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
568;BOLSA METALIZADA VENTANA CON ETIQUETAS MACADAMIA 200 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0,00;1487,40;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
569;BOLSA METALIZADA VENTANA CON ETIQUETAS MARAÑON 200 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;4,00;1487,40;5949,60;;;;SI;REVISAR — tiene stock
570;BOLSA METALIZADA VENTANA CON ETIQUETAS MIX FRUTOS SECOS 200 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0,00;1487,40;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
565;BOLSA METALIZADA VENTANA CON ETIQUETAS NIBS 200 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;15,00;1487,40;22311,00;;;;SI;REVISAR — tiene stock
573;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS ALMENDRA 100 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;12,00;1487,40;17848,80;;;;SI;REVISAR — tiene stock
576;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS ALMENDRA DE CACAO 100 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0,00;1487,40;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
572;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MACADAMIA 100 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;2,00;1487,40;2974,80;;;;SI;REVISAR — tiene stock
574;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MARAÑON 100 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;8,00;1487,40;11899,20;;;;SI;REVISAR — tiene stock
571;BOLSA PEQUEÑA TRANSPARENTE CON ETIQUETAS MIX FRUTOS SECOS 100 GR;T03.03. ENVASES ECOLOGICOS;Producto en proceso;0,00;1487,40;0,00;;;;SI;CANDIDATO ANULAR — nunca usado
